A-04-03-1;2;E-06-05-2;
A-04-03-2;2;B-08-08-2;
A-04-03-3;3;J-09-04-5;
A-04-03-4;30;L-13-10-8;
A-04-03-5;5;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001301
A-04-03-6;39;K-13-05-3;
A-04-03-6;1;K-13-05-3;
A-04-03-7;31;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000919
A-04-03-8;9;E-06-02-7;
A-04-03-8;1;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001578
A-04-03-9;47;B-04-06-8;
A-04-04-1;2;G-07-02-5;
A-04-04-2;3;J-14-05-8;
A-04-04-3;4;J-13-02-2;
A-04-04-3;3;J-13-02-2;
A-04-04-4;45;H-05-10-1;
A-04-04-4;10;H-05-10-1;
A-04-04-5;13;K-02-01-8;
A-04-04-6;4;N-14-01-1;
A-04-04-6;1;N-14-01-1;
A-04-04-6;12;N-14-01-1;
A-04-04-7;46;B-07-09-3;
A-04-04-7;29;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001323
A-04-04-8;8;G-01-02-3;
A-04-04-9;10;E-02-01-9;
A-04-05-1;15;I-04-10-9;
A-04-05-2;3;J-01-03-2;
A-04-05-3;3;I-06-07-9;
A-04-05-4;1;B-05-02-5;
A-04-05-5;15;M-10-01-3;
A-04-05-6;2;B-02-05-5;
A-04-05-6;4;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001287
A-04-05-7;3;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000002066
A-04-05-8;5;S-02-03-3;
A-04-05-8;1;S-02-03-3;
A-04-05-8;3;S-02-03-3;
A-04-05-9;4;H-14-02-7;
A-04-06-1;2;J-06-06-4;
A-04-06-1;20;J-06-06-4;
A-04-06-2;17;J-06-02-5;
A-04-06-3;5;I-01-09-1;
A-04-06-4;1;L-05-08-7;
A-04-06-5;10;B-12-05-4;
A-04-06-6;6;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001287
A-04-06-7;1;G-14-06-5;
A-04-06-7;1;G-14-06-5;
A-04-06-8;2;I-04-08-6;
A-04-06-8;2;I-04-08-6;
A-04-06-9;4;J-06-05-3;
A-04-06-9;1;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001018
A-04-07-1;75;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001623
A-04-07-2;9;L-09-10-2;
A-04-07-3;3;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000520
A-04-07-4;10;K-11-03-4;
A-04-07-5;4;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000337
A-04-07-6;6;J-13-08-1;
A-04-07-6;50;J-13-08-1;
A-04-07-7;3;B-08-01-8;
A-04-07-8;4;L-14-07-2;
A-04-07-9;1;L-12-10-9;
A-04-08-1;3;I-13-06-9;
A-04-08-2;1;E-01-08-4;
A-04-08-3;2;B-13-02-5;
A-04-08-4;1;H-10-01-1;
A-04-08-4;5;H-10-01-1;
A-04-08-5;4;H-09-05-4;
A-04-08-5;2;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000767
A-04-08-6;2;E-03-03-7;
A-04-08-6;4;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001515
A-04-08-7;4;H-13-08-1;
A-04-08-8;6;B-05-06-7;
A-04-08-9;5;E-04-04-1;
A-04-09-1;3;L-05-10-2;
A-04-09-2;2;I-10-05-5;
A-04-09-3;25;G-10-06-5;
A-04-09-4;2;B-16-01-1;
A-04-09-5;5;I-09-06-8;
A-04-09-6;5;L-11-04-9;
A-04-09-7;6;S-04-07-6;
A-04-09-8;13;G-01-04-1;
A-04-09-9;4;I-14-08-2;
A-04-10-1;4;B-01-09-8;
